real,approx,threshold,abs_error_percentage,approx paths given
16577.87,16728.36,9.02,0.9077764513776596,True
13013.28,13013.28,7.6,0.0,False
-1.0,-1.0,7.6,-0.0,False
5001.46,5001.46,12.63,0.0,False
3027.63,3027.63,12.63,0.0,False
19047.1,19061.62,12.63,0.07623207732410937,True
14134.41,14734.34,12.63,4.244464395754759,True
14587.84,14692.38,14.8,0.7166242569153423,True
13476.41,14307.21,14.8,6.164846572640631,True
-1.0,-1.0,14.8,-0.0,False
16977.55,16977.55,9.53,0.0,False
3168.0,3168.0,9.97,0.0,False
3430.43,3430.43,9.97,0.0,False
9375.99,9521.68,9.97,1.553862578778353,True
7263.34,7407.89,9.97,1.9901312619263338,True
13999.81,13999.81,11.69,0.0,False
15807.83,15987.15,11.69,1.1343745472971287,True
13665.04,13940.04,12.27,2.0124346507584314,True
12719.92,12719.92,12.27,0.0,False
12948.75,13013.26,12.27,0.49819480644850056,True
9096.16,9653.78,12.27,6.1302791507625285,True
10457.72,10992.27,9.65,5.111534827859239,True
11134.19,11134.19,9.65,0.0,False
9661.07,9753.25,10.83,0.9541386202563515,True
11298.2,11298.2,10.83,0.0,False
14481.15,14568.28,10.83,0.601678734078447,True
8001.74,8316.8,8.71,3.9373936168883206,True
8383.34,8383.34,8.67,0.0,False
-1.0,-1.0,8.67,-0.0,False
15696.57,16112.25,9.63,2.648221872676644,True
7967.24,7967.24,9.63,0.0,False
15094.47,15929.99,9.63,5.53527218908647,True
20163.39,20489.27,9.63,1.6161964828334967,True
9937.11,10183.85,11.72,2.4830156856470316,True
13113.69,13595.28,11.72,3.6724217211173986,True
12426.76,12621.77,9.94,1.5692746942887785,True
12912.62,13337.57,9.94,3.2909665118310527,True
10047.11,10552.16,9.94,5.0268186573054265,True
-1.0,-1.0,9.94,-0.0,False
10459.82,10896.92,7.96,4.17884820197671,True
-1.0,-1.0,7.96,-0.0,False
12147.82,12527.7,7.96,3.1271454466727446,True
10088.38,10280.8,13.36,1.9073429034195788,True
7627.16,7627.16,6.28,0.0,False
18367.03,18739.09,8.59,2.0256949544918332,True
9618.4,9636.94,8.59,0.1927555518589461,True
-1.0,-1.0,6.53,-0.0,False
8273.96,8273.96,6.53,0.0,False
14223.68,14223.68,6.53,0.0,False
10808.84,10808.84,6.53,0.0,False
4029.33,4029.33,7.39,0.0,False
12581.37,12581.37,7.39,0.0,False
9740.22,9971.53,7.39,2.3747923558194923,True
